A Arca dos Marechais;Marcos Rey
Deuses Americanos;Neil Gaiman
Os Filhos de Anansi;Neil Gaiman
Harry Potter e a Pedra Filosofal;J.K. Rowling
Harry Potter e a Câmara Secreta;J.K. Rowling
Harry Potter e o Prisioneiro de Azkaban;J.K. Rowling
Harry Potter e o Cálice de Fogo;J.K. Rowling
Harry Potter e a Ordem da Fênix;J.K. Rowling
Harry Potter e o Príncipe Mestiço;J.K. Rowling
Harry Potter e as Relíquias da Morte;J.K. Rowling
"Os Contos de Beddle, o Bardo";J.K. Rowling
O Hobbit;J.R.R. Tolkien
A Sociedade do Anel;J.R.R. Tolkien
As Duas Torres;J.R.R. Tolkien
O Retorno do Rei;J.R.R. Tolkien
O Código da Vinci;Dan Brown
Anjos e Demônios;Dan Brown
O Símbolo Perdido;Dan Brown
Inferno;Dan Brown
O Cortiço;Aluísio Azevedo
O Quinze;Rachel de Queiroz
O Grande Mentecapto;Fernando Sabino
Dom Casmurro;Machado de Assis
O Escaravelho do Diabo;Lúcia Machado de Almeida
O Mistério do Cinco Estrelas;Marcos Rey
Um Cadáver Ouve Rádio;Marcos Rey
Um Rosto no Computador;Marcos Rey
A Droga da Obediência;Pedro Bandeira
Anjo da Morte;Pedro Bandeira
O Homem que Calculava;Malba Tahan
O Guarani;José de Alencar
O Iluminado;Stephen King
Christine;Stephen King
Robinson Crusoe;Daniel Defoe
Eragon;Christopher Paolini
Eldest;Christopher Paolini
Brisingr;Christopher Paolini
Herança;Christopher Paolini
O Clã dos Magos;Trudi Canavan
A Aprendiz;Trudi Canavan
O Lorde Supremo;Trudi Canavan
O Nome do Vento;Patrick Rothfuss
O Temor do Sábio;Patrick Rothfuss
O Oceano no Fim do Caminho;Neil Gaiman
O Alquimista;Paulo Coelho
O Arqueiro;Paulo Coelho
O Apanhador no Campo de Centeio;J.D. Salinger
Lugar Nenhum;Neil Gaiman
A Guerra dos Tronos;George R. R. Martin
A Fúria dos Reis;George R. R. Martin
A Tormenta de Espadas;George R. R. Martin
O Festim dos Corvos;George R. R. Martin
A Dança dos Dragões;George R. R. Martin
Admirável Mundo Novo;Aldous Huxley
O Velho e o Mar;Ernest Hemingway
Musashi;Eiji Yoshikawa
O estranho caso do Dr. Jekyll e do Sr. Hyde;Robert Louis Steverson
O Assassinato no Campo de Golfe;Agatha Christie
Sócios no Crime;Agatha Christie
Assassinato no Expresso do Oriente;Agatha Christie
Morte no Nilo;Agatha Christie
E Não Sobrou Nenhum;Agatha Christie
Um Brinde de Cianureto;Agatha Christie
Os Relógios;Agatha Christie
Cai o Pano;Agatha Christie
Café Preto;Agatha Christie
Good Omens Belas Maldições;Neil Gaiman & Terry Pratchett
Farenheit 451;Ray Bradbury
Jogador Número 1;Ernest Cline
Clube da Luta;Chuck Palahnuik
O Arqueiro;Bernard Cornwell
Jogos Vorazes;Suzanne Collins
A Esperança;Suzanne Collins
Em Chamas;Suzanne Collins
Os Sete;André Vianco
Sétimo;André Vianco
A Batalha do Apocalipse;Eduardo Spohr
Herdeiros de Atlântida;Eduardo Spohr
O Caçador de Andróides;Phillip K. Dick
